Rank,Player,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%)
164,Kevin De Bruyne,185,153,83,21,24,5,21,48,2,100
164,Denis Zakaria,185,160,86,14,14,3,10,70,0,0
166,Joao Cancelo,184,160,87,12,33,6,9,56,4,75
166,John Stones,184,178,97,0,0,0,1,100,3,100
168,Jose Cordoba,183,169,92,1,0,1,1,100,2,100
168,Rafik Belghali,183,168,92,5,40,3,3,67,0,0
170,Pico Lopes,182,153,84,0,0,0,7,14,5,60
170,Ahmed Fatouh,182,163,90,7,14,1,11,64,0,0
170,Gideon Mensah,182,156,86,3,0,1,6,33,2,100
173,Jack Hendry,180,171,95,0,0,0,2,0,1,0
174,Denzel Dumfries,179,147,82,17,29,1,13,54,0,0
175,Fredrik Aursnes,178,158,89,4,25,1,5,20,1,100
175,Andres Andrade,178,147,83,8,0,0,7,29,5,80
177,Ferdi Kadioglu,175,161,92,4,0,1,9,78,1,0
178,Rodrigo Bentancur,174,157,90,3,0,4,2,50,0,0
178,Patrick Berg,174,161,93,13,38,5,1,0,2,100
180,Sead Kolasinac,173,141,82,9,11,1,5,20,0,0
181,Aiden Oneill,172,142,83,8,50,3,12,42,3,33
181,Sebastian Caceres,172,154,90,1,0,0,4,50,3,100
183,Marko Stamenic,171,156,91,2,50,2,9,44,1,100
184,Thiago Almada,170,154,91,1,0,3,2,50,2,100
184,Cesar Montes,170,156,92,2,0,0,5,40,2,100
184,Derek Cornelius,170,151,89,1,0,0,2,50,1,0
187,Arthur Masuaku,169,141,83,14,21,2,6,67,5,80
188,Jesus Gallardo,167,140,84,19,21,3,11,18,2,100
189,Luis Diaz,166,145,87,6,17,7,14,50,10,100
189,Vozinha,166,117,70,0,0,1,2,0,0,0
189,Anass Salah Eddine,166,152,92,3,0,0,1,100,0,0
192,Brahim Diaz,165,142,86,8,38,15,13,46,0,0
192,Nikola Katic,165,148,90,0,0,0,1,0,0,0
194,Kevin Danso,164,147,90,1,0,2,1,0,1,100
194,Arthur Theate,164,153,93,0,0,0,0,0,0,0
194,Hans Vanaken,164,153,93,3,0,1,2,50,2,100
197,Guela Doue,163,143,88,11,45,0,9,56,2,100
197,Malik Tillman,163,129,79,15,27,7,18,50,2,100
197,Facundo Medina,163,150,92,5,40,0,2,100,0,0
200,Josip Stanisic,162,140,86,5,20,2,9,67,3,100
