match_id,date,detailed_stage,stage_group,team,opponent,team_position,goals_for,goals_against,result_decision,result,fouls_committed
52,24/06/2026,GROUP STAGE,Group Stage,Brazil,Scotland,Team 2,3,0,Normal Time / Extra Time,Win,11
53,25/06/2026,GROUP STAGE,Group Stage,Czech Republic,Mexico,Team 1,0,3,Normal Time / Extra Time,Loss,9
53,25/06/2026,GROUP STAGE,Group Stage,Mexico,Czech Republic,Team 2,3,0,Normal Time / Extra Time,Win,13
54,25/06/2026,GROUP STAGE,Group Stage,South Africa,South Korea,Team 1,1,0,Normal Time / Extra Time,Win,7
54,25/06/2026,GROUP STAGE,Group Stage,South Korea,South Africa,Team 2,0,1,Normal Time / Extra Time,Loss,9
55,25/06/2026,GROUP STAGE,Group Stage,Curacao,Ivory Coast,Team 1,0,2,Normal Time / Extra Time,Loss,11
55,25/06/2026,GROUP STAGE,Group Stage,Ivory Coast,Curacao,Team 2,2,0,Normal Time / Extra Time,Win,6
56,25/06/2026,GROUP STAGE,Group Stage,Ecuador,Germany,Team 1,2,1,Normal Time / Extra Time,Win,15
56,25/06/2026,GROUP STAGE,Group Stage,Germany,Ecuador,Team 2,1,2,Normal Time / Extra Time,Loss,10
57,26/06/2026,GROUP STAGE,Group Stage,Japan,Sweden,Team 1,1,1,Normal Time / Extra Time,Draw,20
57,26/06/2026,GROUP STAGE,Group Stage,Sweden,Japan,Team 2,1,1,Normal Time / Extra Time,Draw,11
58,26/06/2026,GROUP STAGE,Group Stage,Tunisia,Netherlands,Team 1,1,3,Normal Time / Extra Time,Loss,11
58,26/06/2026,GROUP STAGE,Group Stage,Netherlands,Tunisia,Team 2,3,1,Normal Time / Extra Time,Win,10
59,26/06/2026,GROUP STAGE,Group Stage,Paraguay,Australia,Team 1,0,0,Normal Time / Extra Time,Draw,9
59,26/06/2026,GROUP STAGE,Group Stage,Australia,Paraguay,Team 2,0,0,Normal Time / Extra Time,Draw,6
60,26/06/2026,GROUP STAGE,Group Stage,Turkey,USA,Team 1,3,2,Normal Time / Extra Time,Win,13
60,26/06/2026,GROUP STAGE,Group Stage,USA,Turkey,Team 2,2,3,Normal Time / Extra Time,Loss,13
61,26/06/2026,GROUP STAGE,Group Stage,Norway,France,Team 1,1,4,Normal Time / Extra Time,Loss,9
61,26/06/2026,GROUP STAGE,Group Stage,France,Norway,Team 2,4,1,Normal Time / Extra Time,Win,11
62,26/06/2026,GROUP STAGE,Group Stage,Senegal,Iraq,Team 1,5,0,Normal Time / Extra Time,Win,10
62,26/06/2026,GROUP STAGE,Group Stage,Iraq,Senegal,Team 2,0,5,Normal Time / Extra Time,Loss,11
63,27/06/2026,GROUP STAGE,Group Stage,Cape Verde,Saudi Arabia,Team 1,0,0,Normal Time / Extra Time,Draw,10
63,27/06/2026,GROUP STAGE,Group Stage,Saudi Arabia,Cape Verde,Team 2,0,0,Normal Time / Extra Time,Draw,16
64,27/06/2026,GROUP STAGE,Group Stage,Uruguay,Spain,Team 1,0,1,Normal Time / Extra Time,Loss,14
64,27/06/2026,GROUP STAGE,Group Stage,Spain,Uruguay,Team 2,1,0,Normal Time / Extra Time,Win,14
65,27/06/2026,GROUP STAGE,Group Stage,Egypt,Iran,Team 1,1,1,Normal Time / Extra Time,Draw,11
65,27/06/2026,GROUP STAGE,Group Stage,Iran,Egypt,Team 2,1,1,Normal Time / Extra Time,Draw,16
66,27/06/2026,GROUP STAGE,Group Stage,New Zealand,Belgium,Team 1,1,5,Normal Time / Extra Time,Loss,10
66,27/06/2026,GROUP STAGE,Group Stage,Belgium,New Zealand,Team 2,5,1,Normal Time / Extra Time,Win,7
67,27/06/2026,GROUP STAGE,Group Stage,Croatia,Ghana,Team 1,2,1,Normal Time / Extra Time,Win,9
67,27/06/2026,GROUP STAGE,Group Stage,Ghana,Croatia,Team 2,1,2,Normal Time / Extra Time,Loss,13
68,27/06/2026,GROUP STAGE,Group Stage,Panama,England,Team 1,0,2,Normal Time / Extra Time,Loss,16
68,27/06/2026,GROUP STAGE,Group Stage,England,Panama,Team 2,2,0,Normal Time / Extra Time,Win,13
69,28/06/2026,GROUP STAGE,Group Stage,Colombia,Portugal,Team 1,0,0,Normal Time / Extra Time,Draw,12
69,28/06/2026,GROUP STAGE,Group Stage,Portugal,Colombia,Team 2,0,0,Normal Time / Extra Time,Draw,6
70,28/06/2026,GROUP STAGE,Group Stage,D.R. Congo,Uzbekistan,Team 1,3,1,Normal Time / Extra Time,Win,6
70,28/06/2026,GROUP STAGE,Group Stage,Uzbekistan,D.R. Congo,Team 2,1,3,Normal Time / Extra Time,Loss,16
71,28/06/2026,GROUP STAGE,Group Stage,Algeria,Austria,Team 1,3,3,Normal Time / Extra Time,Draw,3
71,28/06/2026,GROUP STAGE,Group Stage,Austria,Algeria,Team 2,3,3,Normal Time / Extra Time,Draw,7
72,28/06/2026,GROUP STAGE,Group Stage,Jordan,Argentina,Team 1,1,3,Normal Time / Extra Time,Loss,13
72,28/06/2026,GROUP STAGE,Group Stage,Argentina,Jordan,Team 2,3,1,Normal Time / Extra Time,Win,7
73,28/06/2026,ROUND OF 32,Knockout,South Africa,Canada,Team 1,0,1,Normal Time / Extra Time,Loss,10
73,28/06/2026,ROUND OF 32,Knockout,Canada,South Africa,Team 2,1,0,Normal Time / Extra Time,Win,16
74,29/06/2026,ROUND OF 32,Knockout,Brazil,Japan,Team 1,2,1,Normal Time / Extra Time,Win,4
74,29/06/2026,ROUND OF 32,Knockout,Japan,Brazil,Team 2,1,2,Normal Time / Extra Time,Loss,13
