match_id,date,detailed_stage,stage_group,team_1,team_2,team_1_score_raw,team_2_score_raw,team_1_goals,team_2_goals,result_decision,team_1_fouls,team_2_fouls
78,30/06/2026,ROUND OF 32,Knockout,France,Sweden,3,0,3,0,Normal Time / Extra Time,14,10
79,30/06/2026,ROUND OF 32,Knockout,Mexico,Ecuador,2,0,2,0,Normal Time / Extra Time,10,14
80,01/07/2026,ROUND OF 32,Knockout,England,D.R. Congo,2,1,2,1,Normal Time / Extra Time,10,12
81,01/07/2026,ROUND OF 32,Knockout,Belgium,Senegal,3,2,3,2,Normal Time / Extra Time,22,12
82,01/07/2026,ROUND OF 32,Knockout,USA,Bosnia & Herzegovina,2,0,2,0,Normal Time / Extra Time,7,13
83,02/07/2026,ROUND OF 32,Knockout,Spain,Austria,3,0,3,0,Normal Time / Extra Time,8,15
84,02/07/2026,ROUND OF 32,Knockout,Portugal,Croatia,2,1,2,1,Normal Time / Extra Time,6,12
85,02/07/2026,ROUND OF 32,Knockout,Switzerland,Algeria,2,0,2,0,Normal Time / Extra Time,10,12
86,03/07/2026,ROUND OF 32,Knockout,Australia,Egypt,1,1p,1,1,Penalty Shootout,12,14
87,03/07/2026,ROUND OF 32,Knockout,Argentina,Cape Verde,3,2,3,2,Normal Time / Extra Time,13,12
88,03/07/2026,ROUND OF 32,Knockout,Colombia,Ghana,1,0,1,0,Normal Time / Extra Time,14,10
89,04/07/2026,ROUND OF 16,Knockout,Canada,Morocco,0,3,0,3,Normal Time / Extra Time,24,14
90,04/07/2026,ROUND OF 16,Knockout,Paraguay,France,0,1,0,1,Normal Time / Extra Time,13,11
91,05/07/2026,ROUND OF 16,Knockout,Brazil,Norway,1,2,1,2,Normal Time / Extra Time,7,6
92,05/07/2026,ROUND OF 16,Knockout,Mexico,England,2,3,2,3,Normal Time / Extra Time,14,7
93,06/07/2026,ROUND OF 16,Knockout,Portugal,Spain,0,1,0,1,Normal Time / Extra Time,9,13
94,06/07/2026,ROUND OF 16,Knockout,USA,Belgium,1,4,1,4,Normal Time / Extra Time,11,9
95,07/07/2026,ROUND OF 16,Knockout,Argentina,Egypt,3,2,3,2,Normal Time / Extra Time,13,11
96,07/07/2026,ROUND OF 16,Knockout,Switzerland,Colombia,p0,0,0,0,Penalty Shootout,22,21
97,09/07/2026,QUARTER FINALS,Knockout,France,Morocco,2,0,2,0,Normal Time / Extra Time,10,13
98,10/07/2026,QUARTER FINALS,Knockout,Spain,Belgium,2,1,2,1,Normal Time / Extra Time,13,18
99,11/07/2026,QUARTER FINALS,Knockout,Norway,England,1,2,1,2,Normal Time / Extra Time,10,8
100,11/07/2026,QUARTER FINALS,Knockout,Argentina,Switzerland,3,1,3,1,Normal Time / Extra Time,14,18
101,14/07/2026,SEMI FINALS,Knockout,France,Spain,0,2,0,2,Normal Time / Extra Time,11,12
102,15/07/2026,SEMI FINALS,Knockout,England,Argentina,1,2,1,2,Normal Time / Extra Time,11,15
103,19/07/2026,FINAL,Knockout,Spain,Argentina,1,0,1,0,Normal Time / Extra Time,21,25
